Mn (g.mol-1);Tg (°C);RED;Mvol (m3.mol-1);?h (MPa1/2);Conc (%wt);ViscoP (Pa.s-1)
1880;3.9;0.91;115.7;4.1;45;0.03
1880;3.9;0.91;115.7;4.1;65;0.55
1880;3.9;0.41;104.2;5.1;60;0.6
1880;3.9;0.63;106.7;5.4;70;0.73
1880;3.9;0.94;132.6;6.3;62;0.21
1880;3.9;0.94;132.6;6.3;67;0.51
1880;3.9;0.53;73.8;7;45;0.01
1880;3.9;0.53;73.9;7;53;0.02
1880;3.9;0.53;73.9;7;65;0.2
1880;3.9;0.55;64.4;7.1;45;0.17
1880;3.9;0.8;98.6;7.2;45;0.01
1880;3.9;0.79;98.6;7.2;53;0.03
1880;3.9;0.8;98.6;7.2;60;0.13
1880;3.9;0.79;98.6;7.2;65;0.34
1880;3.9;0.34;76.5;7.4;60;0.55
1880;3.9;0.34;76.5;7.4;62;0.55
1880;3.9;0.71;81.9;8;45;0.03
1880;3.9;0.71;81.9;8;60;0.19
1880;3.9;0.88;137.1;9.8;60;0.27
1880;3.9;0.88;137.1;9.8;62;0.53
1880;3.9;0.8;98.2;11.6;60;0.28
1880;3.9;0.8;98.2;11.6;62;0.38
1880;3.9;0.89;103.8;13.7;45;0.16
1880;3.9;0.53;103.8;13.7;60;0.84
1560;16.3;1;115.7;4.1;45;0.02
1560;16.3;0.41;104.2;5.1;60;1.12
1560;16.3;0.64;106.7;5.4;65;0.51
1560;16.3;0.64;106.7;5.4;70;1.1
1560;16.3;0.84;132.6;6.3;65;0.5
1560;16.3;0.84;132.6;6.3;70;1.06
1560;16.3;0.47;73.8;7;45;0.01
1560;16.3;0.47;73.9;7;53;0.02
1560;16.3;0.55;64.4;7.1;45;0.16
1560;16.3;0.55;64.4;7.1;60;0.37
1560;16.3;0.75;98.6;7.2;45;0.01
1560;16.3;0.75;98.6;7.2;65;0.36
1560;16.3;0.34;76.5;7.4;60;0.69
1560;16.3;0.34;76.5;7.4;62;1.07
1560;16.3;0.58;81.9;8;45;0.05
1560;16.3;0.58;81.9;8;60;0.21
1560;16.3;0.58;81.9;8;65;0.46
1560;16.3;0.87;137.1;9.8;60;0.63
1560;16.3;0.83;137.1;9.8;62;0.62
1560;16.3;0.83;137.1;9.8;65;1.32
1560;16.3;0.87;98.2;11.6;65;1.07
1560;16.3;0.93;103.8;13.7;45;0.21
1650;24.42;0.74;106.7;5.4;65;0.87
1650;24.42;0.91;132.6;6.3;62;0.44
1650;24.42;0.91;132.6;6.3;65;0.95
1650;24.42;0.25;76.5;7.4;57;0.87
1650;24.42;0.25;76.5;7.4;60;1.35
1650;24.42;0.88;137.1;9.8;60;0.8
1650;24.42;0.88;137.1;9.8;65;1.6
1640;11.66;0.99;115.7;4.1;65;0.9
1640;11.66;0.87;85.2;4.1;62;0.87
1640;11.66;0.87;85.2;4.1;60;0.68
1640;11.66;0.87;85.2;4.1;65;0.9
1640;11.66;0.4;104.2;5.1;57;0.83
1640;11.66;0.64;106.7;5.4;65;0.29
1640;11.66;0.84;132.6;6.3;65;0.46
1640;11.66;0.84;132.6;6.3;62;0.3
