NThreads;Kernel;Texec;Gflops;Size
1;0;0.520950;4.122248;1024
2;0;0.357548;6.006148;1024
3;0;0.278963;7.698102;1024
4;0;0.190764;11.257251;1024
5;0;0.208818;10.283995;1024
6;0;0.175734;12.220063;1024
7;0;0.173078;12.407601;1024
8;0;0.163622;13.124660;1024
9;0;0.155577;13.803310;1024
10;0;0.149068;14.406050;1024
11;0;0.134641;15.949668;1024
12;0;0.124031;17.314039;1024
13;0;0.126938;16.917536;1024
14;0;0.105798;20.298010;1024
15;0;0.113264;18.959963;1024
16;0;0.115440;18.602631;1024
17;0;0.113715;18.884815;1024
31;0;0.105996;20.260107;1024
32;0;0.090413;23.751829;1024
64;0;0.077126;27.843742;1024
128;0;0.094898;22.629473;1024
1;1;0.103768;20.695053;1024
2;1;0.057917;37.078629;1024
3;1;0.080299;26.743559;1024
4;1;0.088425;24.286041;1024
5;1;0.103979;20.653059;1024
6;1;0.091407;23.493618;1024
7;1;0.087208;24.624735;1024
8;1;0.079814;26.906036;1024
9;1;0.097118;22.112206;1024
10;1;0.075034;28.619993;1024
11;1;0.063808;33.655445;1024
12;1;0.069591;30.858500;1024
13;1;0.066496;32.294697;1024
14;1;0.087443;24.558592;1024
15;1;0.044415;48.350235;1024
16;1;0.060671;35.395706;1024
17;1;0.082836;25.924606;1024
31;1;0.093518;22.963232;1024
32;1;0.064566;33.260143;1024
64;1;0.098768;21.742773;1024
1;0;56.101578;2.449823;4096
2;0;33.454494;4.108236;4096
3;0;21.608725;6.360345;4096
4;0;16.653854;8.252682;4096
5;0;14.221090;9.664445;4096
6;0;12.155931;11.306329;4096
7;0;10.600844;12.964906;4096
8;0;9.590339;14.330979;4096
9;0;8.990393;15.287314;4096
10;0;8.508378;16.153366;4096
11;0;7.685858;17.882057;4096
12;0;6.434533;21.359585;4096
13;0;6.654160;20.654591;4096
14;0;6.314484;21.765667;4096
15;0;5.864499;23.435755;4096
16;0;5.423694;25.340471;4096
17;0;5.068979;27.113735;4096
31;0;3.769420;36.461559;4096
32;0;4.111307;33.429501;4096
64;0;5.504161;24.970007;4096
128;0;7.119193;19.305412;4096
1;1;3.733980;36.807629;4096
2;1;2.021789;67.978889;4096
3;1;1.422541;96.615135;4096
4;1;1.130791;121.542267;4096
5;1;0.925334;148.528976;4096
6;1;0.889646;154.487183;4096
7;1;0.669397;205.317520;4096
8;1;0.667444;205.918274;4096
9;1;0.623414;220.461838;4096
10;1;0.579242;237.273727;4096
11;1;0.526852;260.868286;4096
12;1;0.495066;277.617676;4096
13;1;0.466164;294.829834;4096
14;1;0.484579;283.625549;4096
15;1;0.411200;334.238342;4096
16;1;0.432389;317.859283;4096
17;1;0.505483;271.896484;4096
31;1;0.540017;254.508591;4096
32;1;0.504831;272.247375;4096
64;1;0.676724;203.094681;4096
1;0;452.003662;2.432528;8192
2;0;257.200104;4.274927;8192
3;0;180.102310;6.104928;8192
4;0;139.140884;7.902146;8192
5;0;114.150368;9.632133;8192
6;0;94.872734;11.589333;8192
7;0;85.138283;12.914421;8192
8;0;76.347214;14.401464;8192
9;0;69.943344;15.720032;8192
10;0;63.772896;17.241049;8192
11;0;61.477535;17.884771;8192
12;0;54.909958;20.023903;8192
13;0;50.665764;21.701275;8192
14;0;49.628845;22.154688;8192
15;0;49.139996;22.375086;8192
16;0;45.347828;24.246180;8192
17;0;41.196476;26.689457;8192
31;0;33.358555;32.960407;8192
32;0;31.801006;34.574745;8192
64;0;67.678452;16.246111;8192
128;0;70.850838;15.518682;8192
1;1;29.498524;37.273445;8192
2;1;15.190453;72.381760;8192
3;1;10.761679;102.169151;8192
4;1;8.116931;135.459030;8192
5;1;7.024365;156.528259;8192
6;1;5.848211;188.008209;8192
7;1;5.316283;206.819641;8192
8;1;5.271373;208.581635;8192
9;1;4.790000;229.543121;8192
10;1;4.717260;233.082672;8192
11;1;4.560236;241.108490;8192
12;1;4.307291;255.267578;8192
13;1;3.800655;289.295319;8192
14;1;4.202427;261.637268;8192
15;1;3.788875;290.194702;8192
16;1;3.559551;308.890564;8192
17;1;4.254651;258.425842;8192
31;1;3.744995;293.594971;8192
32;1;3.841096;286.249481;8192
64;1;4.121397;266.781281;8192
